Series;Time;Value
Usable Cores;2017-12-27T01:00:00+01:00;null
Usable Cores;2017-12-27T13:00:00+01:00;null
Usable Cores;2017-12-28T01:00:00+01:00;null
Usable Cores;2017-12-28T13:00:00+01:00;null
Usable Cores;2017-12-29T01:00:00+01:00;null
Usable Cores;2017-12-29T13:00:00+01:00;null
Usable Cores;2017-12-30T01:00:00+01:00;null
Usable Cores;2017-12-30T13:00:00+01:00;null
Usable Cores;2017-12-31T01:00:00+01:00;null
Usable Cores;2017-12-31T13:00:00+01:00;null
Usable Cores;2018-01-01T01:00:00+01:00;null
Usable Cores;2018-01-01T13:00:00+01:00;null
Usable Cores;2018-01-02T01:00:00+01:00;null
Usable Cores;2018-01-02T13:00:00+01:00;null
Usable Cores;2018-01-03T01:00:00+01:00;null
Usable Cores;2018-01-03T13:00:00+01:00;null
Usable Cores;2018-01-04T01:00:00+01:00;null
Usable Cores;2018-01-04T13:00:00+01:00;null
Usable Cores;2018-01-05T01:00:00+01:00;null
Usable Cores;2018-01-05T13:00:00+01:00;null
Usable Cores;2018-01-06T01:00:00+01:00;null
Usable Cores;2018-01-06T13:00:00+01:00;null
Usable Cores;2018-01-07T01:00:00+01:00;null
Usable Cores;2018-01-07T13:00:00+01:00;null
Usable Cores;2018-01-08T01:00:00+01:00;null
Usable Cores;2018-01-08T13:00:00+01:00;null
Usable Cores;2018-01-09T01:00:00+01:00;null
Usable Cores;2018-01-09T13:00:00+01:00;null
Usable Cores;2018-01-10T01:00:00+01:00;null
Usable Cores;2018-01-10T13:00:00+01:00;null
Usable Cores;2018-01-11T01:00:00+01:00;null
Usable Cores;2018-01-11T13:00:00+01:00;null
Usable Cores;2018-01-12T01:00:00+01:00;null
Usable Cores;2018-01-12T13:00:00+01:00;null
Usable Cores;2018-01-13T01:00:00+01:00;null
Usable Cores;2018-01-13T13:00:00+01:00;null
Usable Cores;2018-01-14T01:00:00+01:00;null
Usable Cores;2018-01-14T13:00:00+01:00;null
Usable Cores;2018-01-15T01:00:00+01:00;null
